id,title_en,title_de,language,faculty,cp,level,level_band,kind,primary_cluster,secondary_clusters,topic_tags,competencies,module_code,source,source_url,description_en,notes
etit-applications-of-micro-systems-engineering,Applications of micro systems engineering,Applications of micro systems engineering,en,FEIT,3,Master,advanced,seminar,design_plm,robotics,mems; microsystems; sensors; seminar,Analyze application-specific working principles of micro systems; Evaluate design aspects and fabrication of MEMS devices; Independently research and present a chosen micro-systems topic; Discuss and critique design choices for specific micro-system examples,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Seminar exploring real-world applications, design and fabrication of micro systems through student-led topic presentations and discussion.",
etit-applied-image-processing-and-understanding,Applied Image Processing and Understanding,Angewandte Bildverarbeitung und Bildverstehen,de,FEIT,3,Master,advanced,course,viz,ml_ai,image understanding; computer vision; object tracking; biometrics,"Design complex image processing and understanding systems; Apply algorithms for 3D measurement, motion analysis and object tracking; Implement biometric and face analysis recognition techniques; Develop image evaluation systems for current research applications",,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Applies advanced image processing and understanding to research topics such as 3D measurement, motion analysis, tracking and biometrics.",
etit-applied-microsystems-engineering-innovation-labo,Applied microsystems engineering innovation laboratory,Angewandte Mikrosystemtechnik Innovationslabor,de,FEIT,4,Master,advanced,project,innovation_mgmt,design_plm,entrepreneurship; mems; prototyping; project,"Coordinate and run a simplified start-up team project to a product demonstrator; Develop a microsystems-based product idea and build a prototype; Conduct market analysis and assess business-plan feasibility; Prepare a marketing pitch, project portfolio and presentation",,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Team project realizing a microsystems-based product idea as a start-up demonstrator with market analysis, prototype, pitch and portfolio.",
etit-architectures-of-sensor-fusion-multimodal-patter,Architectures of Sensor Fusion / Multimodal Pattern Recognition for Human-,Fusionsarchitekturen / Multimodale Mustererkennung für die,de,FEIT,2,Master,advanced,seminar,robotics,ml_ai,sensor fusion; multimodal; pattern recognition; human-machine interaction,Describe multimodal signals and their information content; Compare early and late sensor fusion architectures; Apply Markov fusion networks for multimodal pattern recognition; Handle uncertainty in sensor fusion systems,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,A seminar on sensor fusion architectures and multimodal pattern recognition for human-machine interaction under uncertainty.,
etit-automatic-speech-recognition-systems,Automatic Speech Recognition Systems,Automatic Speech Recognition Systems (previously Speech Recognition),en,FEIT,4,Master,core,course,ml_ai,hci,speech recognition; hidden markov models; feature extraction,"Explain methods of automatic speech recognition with Hidden Markov Models; Apply feature extraction and classification techniques to speech; Use DTW, Viterbi and Baum-Welch algorithms; Design robust practical speech recognition systems",,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Teaches methods of automatic speech recognition using Hidden Markov Models, feature extraction, language models and robust system design.",
etit-automation-lab,Automation Lab,Automation Lab,en,FEIT,2,Master,core,lab,robotics,industry40,process automation; control lab; distributed control,Apply control and automation theory to practical systems; Conduct laboratory automation experiments; Implement distributed control systems in practice; Evaluate experimental automation results,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,Laboratory applying knowledge from Systems and Control and Distributed Control Systems to practical process automation experiments.,
etit-automation-systems,Automation Systems,Automatisierungssysteme,de,FEIT,3,Master,core,course,industry40,software_sys,automation systems; system integration; information models,Design distributed digital automation systems; Plan integration of automation components; Interpret abstract automation and information technology models; Apply IT and automation technologies to integrate components,,Modulhandbuch M.Sc. Wirtschaftsingenieurwesen EIT (PDF),,Covers design and construction of distributed digital automation systems including component integration via IT and automation technologies.,
etit-automatisierungsgerate,,Automatisierungsgeräte,de,FEIT,3,Master,core,course,industry40,robotics,automation devices; actuators; sensors; automation technology,Explain construction and operation of automation devices; Describe working principles of digital measurement and actuating devices; Explain pneumatic and hydraulic actuating devices; Apply automation devices in practical exercises; Interpret realisation forms with different signal and energy carriers,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Construction, operation and interconnection of automation devices, including electrical, pneumatic and hydraulic sensors and actuators.",
etit-basics-of-medical-image-science,Basics of Medical Image Science,Basics of Medical Image Science,en,FEIT,3,Master,introductory,course,viz,,medical imaging; radiation physics; image quality,Describe radiation principles and types of ionizing radiation; Distinguish active and passive medical imaging methods; Apply system theory to medical imaging systems; Describe image quality using observer models and ROC curves,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Introduces radiation physics, medical imaging system theory and Fourier- and task-based image quality description using observer models.",
etit-bildcodierung,,Bildcodierung,de,FEIT,3,Master,core,course,viz,data_eng,image coding; video compression; information theory; encoders,Explain methods and techniques of image and video coding; Assess existing coding schemes for still and moving images; Estimate the information content of images; Develop encoders for image and video compression; Apply transform and semantic coding techniques,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Methods and techniques of image and video coding, from signal-theoretic to semantic approaches, for compression and communication.",
etit-biofuels-sustainable-production-and-utilisation,,Biofuels: Sustainable Production and Utilisation,en,FEIT,3,Master,core,course,energy_sustain,methods_skills,biofuels; biomass conversion; life cycle assessment; sustainability,Compare biomass feedstocks and biofuels with fossil alternatives; Distinguish thermochemical and biotechnological conversion processes; Apply reaction-engineering models to biomass conversion; Conduct life-cycle assessment for biofuel production and use; Search and critically review scientific literature via Scopus,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Conversion of biomass to fuels, process modelling and life-cycle assessment for sustainable biofuel production and utilisation.",
etit-bioverfahrenstechnik-i,,Bioverfahrenstechnik I,de,FEIT,90,Master,core,lab,sim_num,energy_sustain,bioprocess engineering; bioreactors; fermentation; microbiology,"Explain microbiological and metabolic fundamentals for engineers; Operate bioreactors and cultivate microorganisms; Apply measurement techniques used in bioprocess engineering; Plan, conduct and evaluate fermentation and purification experiments; Document experimental results in written protocols",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Microbiological and engineering fundamentals of biotechnological processes with hands-on cultivation, bioreactor operation and product purification.",
etit-brennstoffzellen,,Brennstoffzellen,en,FEIT,3,Master,core,course,energy_sustain,sim_num,fuel cells; electrochemistry; hydrogen; energy conversion,"Explain principles of electrochemical energy conversion; Analyse steady-state behaviour and current-voltage curves of fuel cells; Design and optimise fuel cell systems; Apply Nernst equation and reaction kinetics to fuel cells; Assess hydrogen handling, storage and fuel processing",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Principles, steady-state behaviour, design and optimisation of fuel cell systems including hydrogen handling and fuel processing.",
etit-chatbot-challenge,Chatbot-Challenge,Chatbot-Challenge,de,FEIT,4,Master,core,project,ml_ai,hci,chatbots; natural language understanding; user experience,Build chatbot systems with the Rasa framework; Train and evaluate natural language understanding models; Collect and prepare classification training data; Conduct UX user tests and derive improvements; Manage an AI project from idea to productive deployment,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Project building an AI-driven Rasa chatbot for an escape-room game, covering NLU model training, evaluation and UX user testing.",
etit-chemical-reaction-engineering,,Chemical Reaction Engineering,both,FEIT,120,Master,core,course,sim_num,energy_sustain,reaction engineering; reactor design; kinetics; catalysis,Quantitatively assess chemical reactions and their kinetics; Select suitable reactor types and design chemical reactors; Apply stoichiometry and chemical thermodynamics to reactor design; Compute mass transfer in heterogeneous catalysis and reactor heat balances,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Course on quantitative assessment of chemical reactions, reactor selection and design including kinetics, mass transfer and heat balances.",
etit-chip-design,Chip Design,Chip Design,de,FEIT,4,Master,advanced,course,manufacturing,software_sys,chip design; vlsi; asic layout; design for testability,"Apply the main steps of digital chip design; Create manufacturable chip layouts with industrial tools; Perform floorplanning, placement, clock tree synthesis and routing; Design for testability using BIST, boundary scan and ATPG",,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Teaches the fundamentals of digital chip design from partitioning and placement to routing, verification and design for testability.",
etit-combustion-engineering,,Combustion Engineering,en,FEIT,90,Master,advanced,course,energy_sustain,sim_num,combustion; fuels; energy efficiency; emissions,"Compute energy and mass balances for combustion firings; Calculate fuel consumption and flue gas composition for a heat demand; Assess ignition stability, flash-back and blow-off criteria of flames; Design firings for energy efficiency and reduced emissions; Evaluate explosion and detonation conditions for safety",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Combustion fundamentals covering fuels, flame stability, balances and the design of energy-efficient, low-emission firings.",
etit-communication-systems,Communication Systems,Kommunikationssysteme,de,FEIT,3,Master,core,course,software_sys,industry40,industrial communication; fieldbus; tcp/ip; iso/osi,Analyze communication systems using the ISO/OSI reference model; Configure Ethernet/TCP/IP networks for industrial use; Explain operating principles of industrial bus systems and protocols; Assess security aspects of industrial communication systems; Integrate devices and controllers into communication networks,,Modulhandbuch M.Sc. Wirtschaftsingenieurwesen EIT (PDF),,"Covers industrial communication systems, protocols, bus systems and Ethernet/TCP/IP configuration based on the ISO/OSI reference model.",
etit-complex-systems,,Complex Systems,en,FEIT,90,Master,introductory,course,sim_num,software_sys,complex systems; control; stability; modeling,Identify complex systems across engineering and biological domains; Mathematically describe complex systems and evaluate their complexity; Assess stability and fragility of complex systems; Apply numerical tools and control methods to complex systems,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Introduction to modeling, analyzing and controlling complex systems, including their stability, fragility and numerical treatment.",
etit-computational-fluid-dynamics,,Computational Fluid Dynamics,both,FEIT,3,Master,core,course,sim_num,,cfd; fluid dynamics; simulation; turbulence,"Simulate complex flow processes using numerical flow simulation; Generate high-quality grids and choose appropriate discretization; Assess convergence, residuals and validate CFD results critically; Simulate turbulent, multiphase and non-Newtonian flows",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Course on computational fluid dynamics covering grid generation, discretization, validation and simulation of turbulent and multiphase flows.",
etit-computational-neuroscience-i,,Computational Neuroscience I,de,FEIT,3,Master,core,course,ml_ai,sim_num,computational neuroscience; neural coding; bayesian inference; simulation,"Describe biophysical generation of neuronal activity mathematically; Model neurons with RC, LIF and Hodgkin-Huxley equations; Analyse encoding and decoding of sensory information; Apply Bayesian estimation and information-theoretic measures; Simulate dynamical neural systems in self-written programs",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Biophysical foundations of neuronal activity and neural coding, with mathematical models, Bayesian decoding and information theory.",
etit-computational-neuroscience-ii,,Computational Neuroscience II,de,FEIT,3,Master,advanced,course,ml_ai,sim_num,neural networks; computational neuroscience; reinforcement learning; learning rules,Explain architectures and learning rules of neural network models; Analyse stability and asymptotic behaviour of feedforward and recurrent networks; Model associative memory and excitatory-inhibitory networks; Apply reinforcement and actor-critic learning concepts; Implement and visualise neural models in small programs,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Theoretical foundations of neural network architectures and learning rules, including recurrent networks, associative memory and reinforcement learning.",
etit-computed-tomography-i-methods-on-ct,Computed Tomography I - Methods on CT,Computed Tomography I - Methods on CT,en,FEIT,3,Master,introductory,course,viz,sim_num,computed tomography; image reconstruction; medical imaging,Understand the system theory of imaging systems; Explain the functional principle of computed tomography; Apply mathematical methods of tomographic image reconstruction; Handle beam geometries and reconstruction artefacts,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Introduces system theory of imaging, X-ray physics and mathematical methods of tomographic image reconstruction in computed tomography.",
etit-computer-tomographie-theorie-und-anwendung,,Computer Tomographie - Theorie und Anwendung,de,FEIT,5,Master,advanced,course,viz,sim_num,computed tomography; image reconstruction; medical imaging; back-projection,"Explain the physics and operation of computed tomography; Apply system theory of imaging systems; Implement tomographic reconstruction algorithms; Use Fourier, filtered back-projection and algebraic methods; Identify and correct image artefacts in CT",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Theory and application of computed tomography, covering imaging physics and mathematical reconstruction methods with artefact correction.",
etit-computer-based-controller-design,Computer-Based Controller Design,Rechnerbasierter Reglerentwurf (ersetzt Hybride Discrete Event Systems),de,FEIT,3,Master,core,course,sim_num,software_sys,control design; matlab/simulink; robust control; real-time implementation,Design and implement controllers in Matlab/Simulink; Auto-tune PI/PID controllers; Synthesize robust multivariable controllers using H-infinity and mu-synthesis; Apply linear matrix inequalities to controller design; Implement controllers for real-time operation,,Modulhandbuch M.Sc. Wirtschaftsingenieurwesen EIT (PDF),,Teaches computer-aided design and real-time implementation of robust control systems using Matlab/Simulink and modern synthesis methods.,
etit-control-of-ac-drives,Control of AC Drives,Control of AC Drives (Regelung von Drehstrommaschinen),en,FEIT,3,Master,core,course,energy_sustain,robotics,ac drives; field-oriented control; electric machines,Model AC electric machines using space vector representation; Apply field-oriented control to PMSM and induction machines; Tune control loops for AC drives; Assess drive types and control algorithms for applications,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,Teaches dynamic models of AC electric machines and field-oriented and direct torque control algorithms for adjustable-speed AC drives.,
etit-digital-automation-systems,Digital Automation Systems,Digital Automation Systems,en,FEIT,3,Master,core,course,industry40,software_sys,automation systems; opc ua; system integration,Design distributed digital automation systems; Plan integration of automation components; Apply automation and information models such as OPC UA; Interpret abstract automation and information technology models,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Covers design and construction of distributed digital automation systems, integration technologies and information models like OPC UA.",
etit-digital-communication-systems,Digital Communication Systems,Digital Communication Systems,en,FEIT,3,Master,core,course,software_sys,,digital communication; modulation; wireless,"Explain functions and properties of digital communication systems; Apply modulation techniques such as ASK, PSK, FSK and OFDM; Calculate transmission bandwidth, data rate and error rates; Model wired and wireless digital communication channels",,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"A course on digital communication systems covering modulation techniques, channel capacity and modern wired and wireless standards.",
etit-digital-information-processing,Digital Information Processing,Digital Information Processing,en,FEIT,3,Master,core,course,software_sys,,digital signal processing; z-transform; fourier transform,Analyze digital LTI systems using the Z-transform; Apply discrete and fast Fourier transforms to signals; Assess system stability and frequency response; Process stochastic signals using correlation and ARMA models,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"A course on digital signal processing covering Z-transforms, Fourier analysis and processing of deterministic and stochastic signals.",
etit-digital-information-processing-laboratory,Digital Information Processing Laboratory,Digital Information Processing Laboratory,en,FEIT,3,Master,core,lab,ml_ai,software_sys,digital signal processing; digital filters; fourier transform,Apply digital signal processing methods in practice; Implement digital filters and Fourier transforms; Use feature space transformations for signals; Estimate Gaussian models under maximum-likelihood assumptions,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Laboratory applying digital signal processing methods including digital filters, Fourier transforms and feature space transformations to speech.",
etit-digital-protection-of-power-networks,Digital Protection of Power Networks,Digital Protection of Power Networks,en,FEIT,3,Master,core,course,energy_sustain,software_sys,power system protection; digital relays; wide-area protection,"Apply power system protection concepts to network elements; Configure protection settings for lines, transformers and generators; Implement digital signal processing for protection; Design adaptive and intelligent protection systems",,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Teaches power system protection concepts and digital signal processing algorithms for protecting lines, transformers, generators and busbars.",
etit-disperse-systeme-der-verfahrenstechnik-polymere,,"Disperse Systeme der Verfahrenstechnik: Polymere, Kristalle,",en,FEIT,3,Master,core,course,sim_num,mech_mat,disperse systems; population balance; crystallization; polymerization,"Model disperse systems using mass, energy and population balances; Analyze crystallization, polymerization and emulsion systems; Quantify kinetics and thermodynamics of dispersed-phase mechanisms; Model, optimize and design processes involving a dispersed phase",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Course on modeling disperse systems via balance equations, covering crystallization, polymerization and emulsion process design.",
etit-dynamics-of-distributed-parameter-systems,Dynamics of Distributed Parameter Systems,Dynamics of Distributed Parameter Systems,en,FEIT,3,Master,advanced,course,sim_num,robotics,distributed parameter systems; pde control; backstepping,Model distributed parameter systems with partial differential equations; Solve linear PDEs with constant coefficients; Analyze stability of infinite-dimensional systems; Design flatness-based and backstepping controllers for PDE systems,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Modeling, analysis and control of distributed parameter systems described by partial differential equations using flatness-based and backstepping methods.",
etit-dynamics-of-robotic-systems,,Dynamics of Robotic Systems,en,FEIT,3,Master,core,course,robotics,sim_num,robotics; kinematics; dynamics; manipulators,Describe kinematics of serial robotic manipulators; Analyse rigid-body and instantaneous kinematics; Derive the dynamics of robotic systems; Simulate robotic systems on a computer; Model and analyse robot manipulators mathematically,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Foundations of kinematics, dynamics and computer simulation of robotic manipulators and serial robot systems.",
etit-einfuhrung-in-die-medizinische-bildgebung,,Einführung in die medizinische Bildgebung,de,FEIT,5,Master,introductory,course,viz,,medical imaging; ct; mri; ultrasound,"Describe modalities of modern medical imaging; Explain principles of X-ray, CT, PET/SPECT, ultrasound and MRI; Assess image quality and patient risks of imaging methods; Outline data processing steps for medical images; Apply basic image processing in laboratory exercises",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Introductory overview of modern medical imaging modalities, their principles, image quality, risks and required data processing.",
etit-eingebettete-mechatronische-systeme-i,,Eingebettete Mechatronische Systeme I,de,FEIT,3,Master,introductory,course,software_sys,robotics,embedded systems; mechatronics; microcontrollers; real-time,Explain structure and function of embedded systems in mechatronics; Design analog solutions based on operational amplifiers; Design digital solutions based on microcontrollers; Specify and generate real-time software; Implement functions on programmable logic,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Fundamentals of embedded mechatronic systems covering analog and digital solutions, signal processing and real-time behaviour.",
etit-eingebettete-mechatronische-systeme-ii,,Eingebettete Mechatronische Systeme II,de,FEIT,3,Master,advanced,course,software_sys,mobility,embedded systems; automotive ecu; real-time os; autosar,Develop hardware and software for embedded mechatronic systems; Program 8-bit and 32-bit microcontrollers with real-time operating systems; Specify functions with Matlab/Simulink and ASCET and generate code; Apply AUTOSAR and ECU architectures for automotive control units; Implement real-time control on industrial PCs and mobile devices,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Advanced development of embedded mechatronic hardware and software for automotive ECUs, industrial PCs and mobile devices using modern tools.",
etit-eingebettete-systeme,,Eingebettete Systeme,de,FEIT,3,Master,core,course,software_sys,robotics,embedded systems; fpga; dsp; state machines,Design hardware and software platforms for embedded systems; Model embedded systems with extended finite state machines; Apply object-oriented design to embedded software development; Realise functions on FPGA and DSP platforms; Validate embedded systems through testing,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Architectures, design and implementation of computer-controlled embedded systems on hardware and software platforms, with formal methods and testing.",
etit-electromagnetic-compatibility,Electromagnetic Compatibility,Electromagnetic Compatibility (EMC),en,FEIT,4,Master,core,course,energy_sustain,,electromagnetic compatibility; shielding; emc measurement,"Understand EMC concepts, principles and regulations; Apply shielding, filtering and coupling reduction measures; Analyze the EMC of electrical and electronic systems; Use EMC measurement techniques",,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"Covers concepts, measurement techniques and design measures to analyze and improve the electromagnetic compatibility of electronic systems.",
etit-electromagnetic-compatibility-of-regenerative-el,Electromagnetic Compatibility of Regenerative Electrical Systems,Elektromagnetische Verträglichkeit regenerativer elektrischer Systeme,de,FEIT,3,Master,advanced,course,energy_sustain,sim_num,electromagnetic compatibility; power quality; renewable energy; shielding,"Describe generation, propagation and effects of electromagnetic disturbances in grids; Assess the impact of renewable sources on grid power quality; Select analytical and numerical methods to predict EMC; Apply shielding concepts and mitigation measures for EMC problems",,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Covers electromagnetic compatibility of regenerative electrical systems, including disturbance analysis, prediction methods and mitigation.",
etit-electromagnetic-field-theory,Electromagnetic Field Theory,Electromagnetic Field Theory,en,FEIT,3,Master,core,course,sim_num,energy_sustain,electromagnetics; maxwell equations; field theory,Apply vector analysis and integral theorems to field problems; Use Maxwell's equations and boundary conditions; Solve problems for static electric and magnetic fields; Analyze time-varying electromagnetic fields,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"A course on electromagnetic field theory covering Maxwell's equations, boundary conditions and static and time-varying fields.",
etit-electromechanical-actuators,Electromechanical Actuators,Unkonventionelle elektrische Maschinen,de,FEIT,3,Master,advanced,course,energy_sustain,robotics,electrical machines; actuators; electromechanical systems; drive control,"Explain operation and dynamics of unconventional electrical machines; Model electromechanical actuators within mechanical systems; Design control for reluctance, stepper and linear motors; Project the integration of actuators into mechatronic systems",,Modulhandbuch M.Sc. Mechatronik (PDF),,Provides advanced knowledge of electrical machines and actuators as components of electromechanical and mechatronic systems.,
etit-electronic-circuits,Electronic Circuits,Electronic Circuits,en,FEIT,3,Master,core,course,software_sys,,electronic circuits; adc dac; vhdl; pll,Design analog-to-digital and digital-to-analog converters; Analyze phase-locked loops using linear models; Design and test digital circuits with programmable logic; Apply VHDL for digital circuit design,,Modulhandbuch M.Sc. Electrical Engineering and IT (EN) (PDF),,"A course on electronic circuits covering data converters, phase-locked loops and the design and testing of digital circuits with VHDL.",
etit-elektrische-energienetze-ii-energieversorgung,,Elektrische Energienetze II - Energieversorgung,de,FEIT,3,Master,advanced,course,energy_sustain,,power grids; smart grid; energy supply; grid integration,"Plan and operate electrical power transmission and distribution grids; Derive measures to develop intelligent smart-grid structures; Assess grid security, dynamic security and black-out prevention; Integrate decentralized generators and model wind farms in grids",,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Advanced course on planning and operating electrical power grids, smart-grid development, grid security and integration of decentralized generation.",
etit-elektromechanische-aktorsysteme,,Elektromechanische Aktorsysteme,de,FEIT,3,Master,core,course,robotics,mech_mat,actuators; piezo; smart materials; mechatronics,Model electromechanical systems using Lagrange equations; Explain construction and behaviour of piezo and magnetostrictive actuators; Design power amplifiers and control for piezo actuators; Integrate electric actuators into complex mechanical systems; Apply actuators to vibration damping and positioning,,Modulhandbuch M.Sc. Systemtechnik und Technische Kybernetik (PDF),,"Construction, behaviour and control of electromechanical actuators such as piezo and magnetostrictive actuators and their system integration.",
etit-emc-measurement-techniques,EMC Measurement Techniques,EMV-Messtechnik,de,FEIT,3,Master,core,course,energy_sustain,manufacturing,emc measurement; metrology; spectrum analysis; emissions,Use measurement instruments and probes for EMC assessment; Analyze measurement limits and errors in time and frequency domains; Select suitable measurement methods for EMC problems; Evaluate emission and immunity measurement results,,Modulhandbuch M.Sc. Elektro- und Informationstechnik (PDF),,"Teaches instruments, probes and standardized methods for measuring and assessing electromagnetic compatibility of electrical systems.",
